Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,3.912787,4.051820,3.912787,3.992235,0.239122,56400
1970-01-05,4.031959,4.131268,4.031959,4.131268,0.247450,116100
1970-01-06,4.131268,4.210715,4.091544,4.131268,0.247450,92900
1970-01-07,4.131268,4.190854,4.111406,4.111406,0.246260,67900
1970-01-08,4.131268,4.210715,4.131268,4.210715,0.252208,59100
1970-01-09,4.210715,4.230577,4.131268,4.170992,0.249829,79200
1970-01-12,4.170992,4.170992,4.111406,4.151130,0.248639,59500
1970-01-13,4.151130,4.151130,4.012097,4.012097,0.240312,109800
1970-01-14,4.012097,4.111406,4.012097,4.111406,0.246260,46800
1970-01-15,4.071682,4.071682,3.992235,4.012097,0.240312,69100
1970-01-16,4.012097,4.071682,3.972373,4.012097,0.240312,46400
1970-01-19,4.012097,4.071682,3.972373,4.031959,0.241501,45200
1970-01-20,4.031959,4.051820,3.932649,4.012097,0.240312,51400
1970-01-21,4.051820,4.449058,4.051820,4.329886,0.259346,147100
1970-01-22,4.329886,4.369610,4.170992,4.190854,0.251019,161500
1970-01-23,4.190854,4.210715,4.091544,4.111406,0.246260,64000
1970-01-26,4.091544,4.091544,3.892926,3.972373,0.237932,98000
1970-01-27,3.972373,3.972373,3.873064,3.972373,0.237932,56400
1970-01-28,3.932649,3.932649,3.773754,3.773754,0.226036,111000
1970-01-29,3.753892,3.753892,3.634721,3.714169,0.222467,230600
1970-01-30,3.714169,3.734031,3.654583,3.734031,0.223656,170100
1970-02-02,3.734031,3.773754,3.694307,3.773754,0.226036,138300
1970-02-03,3.773754,3.813478,3.674445,3.813478,0.228415,145900
1970-02-04,3.813478,3.813478,3.654583,3.714169,0.225283,154600
1970-02-05,3.714169,3.714169,3.634721,3.654583,0.221669,79600
1970-02-06,3.654583,3.674445,3.614859,3.654583,0.221669,114800
1970-02-09,3.654583,3.654583,3.614859,3.654583,0.221669,124900
1970-02-10,3.654583,3.654583,3.614859,3.654583,0.221669,65300
1970-02-11,3.654583,3.694307,3.634721,3.694307,0.224078,78300
1970-02-12,3.694307,3.694307,3.634721,3.654583,0.221669,70300
1970-02-13,3.654583,3.694307,3.634721,3.654583,0.221669,50200
1970-02-16,3.654583,3.674445,3.614859,3.674445,0.222873,71600
1970-02-17,3.654583,3.654583,3.575136,3.575136,0.216850,86700
1970-02-18,3.594998,3.674445,3.594998,3.614859,0.219259,84200
1970-02-19,3.614859,3.694307,3.594998,3.594998,0.218055,107300
1970-02-20,3.614859,3.734031,3.614859,3.634721,0.220464,188600
1970-02-24,3.634721,3.674445,3.634721,3.654583,0.221669,167200
1970-02-25,3.654583,3.694307,3.614859,3.654583,0.221669,201700
1970-02-26,3.654583,3.674445,3.614859,3.634721,0.220464,192400
1970-02-27,3.634721,3.813478,3.594998,3.734031,0.226488,222700
1970-03-02,3.773754,3.912787,3.773754,3.813478,0.231306,211300
1970-03-03,3.813478,3.912787,3.773754,3.912787,0.237330,124500
1970-03-04,3.912787,3.992235,3.892926,3.932649,0.238535,164800
1970-03-05,3.932649,3.972373,3.873064,3.912787,0.237330,108100
1970-03-06,3.912787,3.932649,3.813478,3.833340,0.232511,80900
1970-03-09,3.833340,3.853202,3.793616,3.813478,0.231306,67000
1970-03-10,3.813478,3.873064,3.793616,3.853202,0.233716,39400
1970-03-11,3.853202,3.873064,3.833340,3.833340,0.232511,58200
1970-03-12,3.833340,3.833340,3.773754,3.793616,0.230102,55200
1970-03-13,3.793616,3.833340,3.753892,3.833340,0.232511,59100
1970-03-16,3.833340,3.853202,3.734031,3.793616,0.230102,51400
1970-03-17,3.793616,3.813478,3.734031,3.793616,0.230102,58200
1970-03-18,3.793616,3.873064,3.734031,3.773754,0.228897,201300
1970-03-19,3.773754,3.773754,3.694307,3.734031,0.226488,58200
1970-03-20,3.734031,3.753892,3.654583,3.734031,0.226488,183600
1970-03-23,3.734031,3.773754,3.694307,3.714169,0.225283,50200
1970-03-24,3.734031,3.793616,3.734031,3.793616,0.230102,49400
1970-03-25,3.793616,3.873064,3.753892,3.853202,0.233716,173900
1970-03-26,3.853202,3.873064,3.813478,3.853202,0.233716,90900
1970-03-30,3.853202,3.892926,3.793616,3.813478,0.231306,85900
1970-03-31,3.813478,3.833340,3.773754,3.773754,0.228897,69100
1970-04-01,3.793616,3.853202,3.793616,3.813478,0.231306,75300
1970-04-02,3.813478,3.853202,3.793616,3.793616,0.230102,112200
1970-04-03,3.793616,3.833340,3.753892,3.833340,0.232511,192400
1970-04-06,3.833340,3.853202,3.773754,3.773754,0.228897,123700
1970-04-07,3.773754,3.833340,3.753892,3.833340,0.232511,77900
1970-04-08,3.833340,3.833340,3.793616,3.793616,0.230102,41800
1970-04-09,3.793616,3.813478,3.753892,3.773754,0.228897,42700
1970-04-10,3.753892,3.753892,3.694307,3.694307,0.224078,124500
1970-04-13,3.694307,3.734031,3.654583,3.714169,0.225283,148400
1970-04-14,3.714169,3.734031,3.614859,3.694307,0.224078,133700
1970-04-15,3.694307,3.753892,3.654583,3.674445,0.222873,40200
1970-04-16,3.674445,3.714169,3.436103,3.436103,0.208417,160100
1970-04-17,3.356655,3.356655,3.217622,3.336793,0.202393,260400
1970-04-20,3.336793,3.416241,3.277208,3.297070,0.199984,114800
1970-04-21,3.297070,3.376517,3.277208,3.277208,0.198779,82900
1970-04-22,3.277208,3.336793,3.277208,3.297070,0.199984,82900
1970-04-23,3.297070,3.297070,3.217622,3.297070,0.199984,99700
1970-04-24,3.297070,3.336793,3.257346,3.277208,0.198779,103000
1970-04-27,3.336793,3.336793,3.237484,3.297070,0.199984,75300
1970-04-28,3.237484,3.237484,3.138175,3.158036,0.191551,260400
1970-04-29,3.177898,3.336793,3.177898,3.336793,0.202393,103000
1970-04-30,3.336793,3.376517,3.177898,3.257346,0.197574,136200
1970-05-01,3.257346,3.277208,3.177898,3.177898,0.192755,118600
