Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,5.129630,5.018518,5.037037,0.287775,62400
1980-03-18,0.000000,5.111111,5.037037,5.074074,0.289891,63900
1980-03-19,0.000000,5.166667,5.111111,5.148148,0.294123,40500
1980-03-20,0.000000,5.148148,5.092593,5.111111,0.292007,18900
1980-03-21,0.000000,5.222222,5.111111,5.222222,0.298355,97200
1980-03-24,0.000000,5.185185,5.092593,5.092593,0.290949,90300
1980-03-25,0.000000,5.111111,5.055555,5.074074,0.289891,72000
1980-03-26,0.000000,5.148148,5.037037,5.111111,0.292007,31500
1980-03-27,0.000000,5.092593,4.925926,5.074074,0.289891,62100
1980-03-28,0.000000,5.074074,4.925926,5.018518,0.286717,84000
1980-03-31,0.000000,5.185185,5.074074,5.166667,0.295181,55200
1980-04-01,0.000000,5.259259,5.074074,5.111111,0.292007,126000
1980-04-02,0.000000,5.296296,5.148148,5.296296,0.302587,58500
1980-04-03,0.000000,5.555555,5.407407,5.500000,0.314225,310800
1980-04-07,0.000000,5.629630,5.481482,5.537037,0.316341,115200
1980-04-08,0.000000,5.500000,5.444445,5.444445,0.311051,217800
1980-04-09,0.000000,5.407407,5.259259,5.370370,0.306819,181200
1980-04-10,0.000000,5.518518,5.370370,5.481482,0.313167,191700
1980-04-11,0.000000,5.592593,5.462963,5.481482,0.313167,111900
1980-04-14,0.000000,5.481482,5.425926,5.462963,0.312109,18900
1980-04-15,0.000000,5.425926,5.333333,5.333333,0.304703,63300
1980-04-16,0.000000,5.425926,5.370370,5.425926,0.309993,30000
1980-04-17,0.000000,5.388889,5.314815,5.333333,0.304703,43500
1980-04-18,0.000000,5.388889,5.296296,5.296296,0.302587,27300
1980-04-21,0.000000,5.277778,5.111111,5.166667,0.295181,83700
1980-04-22,0.000000,5.333333,5.111111,5.333333,0.304703,122700
1980-04-23,0.000000,5.333333,5.203704,5.333333,0.304703,132300
1980-04-24,0.000000,5.333333,5.222222,5.296296,0.302587,209100
1980-04-25,0.000000,5.277778,5.203704,5.222222,0.298355,21600
1980-04-28,0.000000,5.370370,5.277778,5.333333,0.304703,141600
1980-04-29,0.000000,5.370370,5.314815,5.351852,0.305761,45000
1980-04-30,0.000000,5.425926,5.296296,5.407407,0.308935,84900
1980-05-01,0.000000,5.537037,5.425926,5.500000,0.314225,48600
1980-05-02,0.000000,5.592593,5.462963,5.555555,0.317399,49800
1980-05-05,0.000000,5.851852,5.629630,5.851852,0.334327,621300
1980-05-06,0.000000,5.962963,5.759259,5.759259,0.329037,143400
1980-05-07,0.000000,5.925926,5.759259,5.851852,0.334327,483600
1980-05-08,0.000000,5.907407,5.796296,5.833333,0.333269,36300
1980-05-09,0.000000,5.796296,5.722222,5.796296,0.331153,24600
1980-05-12,0.000000,5.796296,5.648148,5.777778,0.330095,27000
1980-05-13,0.000000,5.833333,5.722222,5.759259,0.329037,40500
1980-05-14,0.000000,5.851852,5.777778,5.777778,0.330095,61200
1980-05-15,0.000000,5.814815,5.722222,5.759259,0.329037,36900
1980-05-16,0.000000,5.759259,5.703704,5.740741,0.327979,11100
1980-05-19,0.000000,5.925926,5.740741,5.870370,0.335385,51300
1980-05-20,0.000000,5.870370,5.759259,5.759259,0.329037,85500
1980-05-21,0.000000,5.777778,5.685185,5.722222,0.326921,40500
1980-05-22,0.000000,5.814815,5.666667,5.777778,0.330095,143400
1980-05-23,0.000000,5.888889,5.796296,5.851852,0.334327,113400
1980-05-27,0.000000,5.851852,5.796296,5.796296,0.331153,57000
1980-05-28,0.000000,5.888889,5.814815,5.888889,0.336443,135000
1980-05-29,0.000000,5.907407,5.722222,5.814815,0.332211,108300
1980-05-30,0.000000,5.796296,5.685185,5.796296,0.331153,80100
1980-06-02,0.000000,5.870370,5.722222,5.759259,0.329037,107100
1980-06-03,0.000000,5.814815,5.740741,5.796296,0.331153,101100
1980-06-04,0.000000,5.944445,5.777778,5.944445,0.339617,143100
1980-06-05,0.000000,6.000000,5.925926,5.925926,0.338559,95700
1980-06-06,0.000000,6.222222,5.907407,6.222222,0.355487,205500
1980-06-09,0.000000,6.055555,5.888889,5.925926,0.338559,150300
1980-06-10,0.000000,6.037037,5.870370,6.018518,0.343849,110700
1980-06-11,0.000000,6.259259,5.962963,6.129630,0.350197,140400
1980-06-12,0.000000,6.111111,5.962963,6.111111,0.349139,178200
1980-06-13,0.000000,6.370370,6.111111,6.370370,0.363951,196200
1980-06-16,0.000000,6.296296,6.111111,6.148148,0.351255,298200
1980-06-17,0.000000,6.148148,6.074074,6.148148,0.351255,344100
1980-06-18,0.000000,6.148148,5.981482,6.018518,0.343849,129600
1980-06-19,0.000000,5.981482,5.759259,5.814815,0.332211,82800
1980-06-20,0.000000,5.851852,5.740741,5.777778,0.330095,207000
1980-06-23,0.000000,5.870370,5.685185,5.759259,0.329037,557400
1980-06-24,0.000000,5.925926,5.777778,5.925926,0.338559,174000
1980-06-25,0.000000,5.962963,5.870370,5.944445,0.339617,294300
1980-06-26,0.000000,5.962963,5.907407,5.925926,0.338559,791400
1980-06-27,0.000000,5.962963,5.907407,5.944445,0.339617,104400
1980-06-30,0.000000,5.962963,5.814815,5.925926,0.338559,84900
1980-07-01,0.000000,5.944445,5.870370,5.925926,0.338559,89100
1980-07-02,0.000000,5.944445,5.888889,5.944445,0.339617,89100
1980-07-03,0.000000,5.962963,5.925926,5.962963,0.340675,549900
1980-07-07,0.000000,6.000000,5.925926,5.962963,0.340675,144300
1980-07-08,0.000000,6.000000,5.907407,5.962963,0.340675,148500
1980-07-09,0.000000,6.055555,5.944445,5.944445,0.339617,89100
1980-07-10,0.000000,6.055555,5.925926,6.000000,0.342791,39000
1980-07-11,0.000000,6.055555,6.000000,6.018518,0.343849,33600
1980-07-14,0.000000,6.222222,6.000000,6.222222,0.355487,90300
1980-07-15,0.000000,6.240741,6.129630,6.148148,0.351255,289200
1980-07-16,0.000000,6.240741,6.074074,6.240741,0.356544,103800
1980-07-17,0.000000,6.277778,6.222222,6.277778,0.358661,58500
1980-07-18,0.000000,6.333333,6.259259,6.333333,0.361835,127200
1980-07-21,0.000000,6.648148,6.314815,6.648148,0.379821,816600
1980-07-22,0.000000,6.648148,6.407407,6.407407,0.366066,253800
1980-07-23,0.000000,6.370370,6.222222,6.240741,0.356544,111900
